,id,name,출판일,분류,작가,순위,평점,한줄평,댓글등록자,댓글등록일
0,41847244,가장 예쁜 생각을 너에게 주고 싶다,2017년 06월 07일,"['국내도서', '소설/시/희곡', '시/희곡', '한국 시', '#유퀴즈온더블럭_자기님들', '#시시한게좋아', '#딸에게들려주고싶은', '#선물하기좋은시집', '#이종석이읽은시', '#드라마에소개된책']","
나태주 저/강라은 그림
        ",321,평점5점,새상의 모든 딸들에게 들려주고 싶다는 감성 시인 나태주의 따뜻하고 포근한 언어들을 만난다,나*이,2021-04-09
1,41847244,가장 예쁜 생각을 너에게 주고 싶다,2017년 06월 07일,"['국내도서', '소설/시/희곡', '시/희곡', '한국 시', '#유퀴즈온더블럭_자기님들', '#시시한게좋아', '#딸에게들려주고싶은', '#선물하기좋은시집', '#이종석이읽은시', '#드라마에소개된책']","
나태주 저/강라은 그림
        ",321,평점5점,"새상의 모든 떨들에게 들려주고 싶다는 감성 시인 나태주의 따뜻하고 포근한 언어들, 만난다",나*이,2021-04-09
2,41847244,가장 예쁜 생각을 너에게 주고 싶다,2017년 06월 07일,"['국내도서', '소설/시/희곡', '시/희곡', '한국 시', '#유퀴즈온더블럭_자기님들', '#시시한게좋아', '#딸에게들려주고싶은', '#선물하기좋은시집', '#이종석이읽은시', '#드라마에소개된책']","
나태주 저/강라은 그림
        ",321,평점5점,좋네요,k*******5,2021-03-26
3,41847244,가장 예쁜 생각을 너에게 주고 싶다,2017년 06월 07일,"['국내도서', '소설/시/희곡', '시/희곡', '한국 시', '#유퀴즈온더블럭_자기님들', '#시시한게좋아', '#딸에게들려주고싶은', '#선물하기좋은시집', '#이종석이읽은시', '#드라마에소개된책']","
나태주 저/강라은 그림
        ",321,평점5점,좋네요~,L***s,2020-11-28
4,41847244,가장 예쁜 생각을 너에게 주고 싶다,2017년 06월 07일,"['국내도서', '소설/시/희곡', '시/희곡', '한국 시', '#유퀴즈온더블럭_자기님들', '#시시한게좋아', '#딸에게들려주고싶은', '#선물하기좋은시집', '#이종석이읽은시', '#드라마에소개된책']","
나태주 저/강라은 그림
        ",321,평점5점,온니유폴미,l*****1,2020-11-24
5,41847244,가장 예쁜 생각을 너에게 주고 싶다,2017년 06월 07일,"['국내도서', '소설/시/희곡', '시/희곡', '한국 시', '#유퀴즈온더블럭_자기님들', '#시시한게좋아', '#딸에게들려주고싶은', '#선물하기좋은시집', '#이종석이읽은시', '#드라마에소개된책']","
나태주 저/강라은 그림
        ",321,평점5점,이게내마음,m******g,2020-11-20
6,41847244,가장 예쁜 생각을 너에게 주고 싶다,2017년 06월 07일,"['국내도서', '소설/시/희곡', '시/희곡', '한국 시', '#유퀴즈온더블럭_자기님들', '#시시한게좋아', '#딸에게들려주고싶은', '#선물하기좋은시집', '#이종석이읽은시', '#드라마에소개된책']","
나태주 저/강라은 그림
        ",321,평점5점,오직너에게,그*석,2020-11-18
7,41847244,가장 예쁜 생각을 너에게 주고 싶다,2017년 06월 07일,"['국내도서', '소설/시/희곡', '시/희곡', '한국 시', '#유퀴즈온더블럭_자기님들', '#시시한게좋아', '#딸에게들려주고싶은', '#선물하기좋은시집', '#이종석이읽은시', '#드라마에소개된책']","
나태주 저/강라은 그림
        ",321,평점5점,니꺼야,h*****0,2020-11-16
8,41847244,가장 예쁜 생각을 너에게 주고 싶다,2017년 06월 07일,"['국내도서', '소설/시/희곡', '시/희곡', '한국 시', '#유퀴즈온더블럭_자기님들', '#시시한게좋아', '#딸에게들려주고싶은', '#선물하기좋은시집', '#이종석이읽은시', '#드라마에소개된책']","
나태주 저/강라은 그림
        ",321,평점5점,가장예쁜너,하**사,2020-11-07
9,41847244,가장 예쁜 생각을 너에게 주고 싶다,2017년 06월 07일,"['국내도서', '소설/시/희곡', '시/희곡', '한국 시', '#유퀴즈온더블럭_자기님들', '#시시한게좋아', '#딸에게들려주고싶은', '#선물하기좋은시집', '#이종석이읽은시', '#드라마에소개된책']","
나태주 저/강라은 그림
        ",321,평점5점,다줄게가져,v***y,2020-11-04
